Anrede; Titel; Vorname; Nachname; Titel2; Nutzernamen; Privatadr; Privatnr; E-Mail; Anmeldedatum; Studiengaenge; Matrikelnr; Bemerkung
Mr.; ; First12; Lastname12; ; ; ; ; Lastname12@email.de; ; Master of Laws, 16; 661404; ;
Mrs.; ; First37; Lastname37; ; ; ; ; Lastname37@email.de; ; Master of Arts, 10; 232120; ;
Mr.; ; First28; Lastname28; ; ; ; ; Lastname28@email.de; ; Master of Laws, 1; 457213; ;
Mr.; ; First13; Lastname13; ; ; ; ; Lastname13@email.de; ; Bachelor of Science, 16; 584911; ;
Mr.; ; First07; Lastname07; ; ; ; ; Lastname07@email.de; ; Master of Science, 19; 735393; ;
Mrs.; ; First09; Lastname09; ; ; ; ; Lastname09@email.de; ; Master of Science, 11; 423106; ;
Mr.; ; First16; Lastname16; ; ; ; ; Lastname16@email.de; ; Master of Science, 14; 453668; ;
Mr.; ; First23; Lastname23; ; ; ; ; Lastname23@email.de; ; Master of Philosophy, 1; 551742; ;
Mrs.; ; First27; Lastname27; ; ; ; ; Lastname27@email.de; ; Bachelor of Philosophy, 20; 480513; ;
Mrs.; ; First24; Lastname24; ; ; ; ; Lastname24@email.de; ; Master of Science, 12; 333904; ;
Mr.; ; First36; Lastname36; ; ; ; ; Lastname36@email.de; ; Bachelor of Science, 6; 977320; ;
Mrs.; ; First11; Lastname11; ; ; ; ; Lastname11@email.de; ; Bachelor of Laws, 11; 984733; ;
Mrs.; ; First04; Lastname04; ; ; ; ; Lastname04@email.de; ; Master of Science, 6; 137614; ;
Mrs.; ; First33; Lastname33; ; ; ; ; Lastname33@email.de; ; Bachelor of Philosophy, 2; 203071; ;
Mrs.; ; First06; Lastname06; ; ; ; ; Lastname06@email.de; ; Bachelor of Arts, 13; 975548; ;
Mr.; ; First18; Lastname18; ; ; ; ; Lastname18@email.de; ; Master of Arts, 17; 381627; ;
Mr.; ; First05; Lastname05; ; ; ; ; Lastname05@email.de; ; Bachelor of Arts, 1; 320444; ;
Mr.; ; First20; Lastname20; ; ; ; ; Lastname20@email.de; ; Master of Philosophy, 3; 252051; ;
Mrs.; ; First21; Lastname21; ; ; ; ; Lastname21@email.de; ; Master of Philosophy, 17; 617628; ;
Mrs.; ; First38; Lastname38; ; ; ; ; Lastname38@email.de; ; Master of Laws, 2; 869145; ;
Mr.; ; First03; Lastname03; ; ; ; ; Lastname03@email.de; ; Bachelor of Philosophy, 15; 657111; ;
Mrs.; ; First31; Lastname31; ; ; ; ; Lastname31@email.de; ; Bachelor of Arts, 12; 333363; ;
Mrs.; ; First08; Lastname08; ; ; ; ; Lastname08@email.de; ; Bachelor of Science, 7; 505123; ;
Mrs.; ; First17; Lastname17; ; ; ; ; Lastname17@email.de; ; Master of Philosophy, 7; 859616; ;
Mr.; ; First02; Lastname02; ; ; ; ; Lastname02@email.de; ; Bachelor of Philosophy, 6; 624839; ;
Mr.; ; First15; Lastname15; ; ; ; ; Lastname15@email.de; ; Bachelor of Science, 4; 795377; ;
Mrs.; ; First22; Lastname22; ; ; ; ; Lastname22@email.de; ; Bachelor of Arts, 17; 284651; ;
Mr.; ; First10; Lastname10; ; ; ; ; Lastname10@email.de; ; Master of Laws, 20; 418359; ;
Mrs.; ; First25; Lastname25; ; ; ; ; Lastname25@email.de; ; Master of Philosophy, 3; 154655; ;
Mr.; ; First01; Lastname01; ; ; ; ; Lastname01@email.de; ; Master of Laws, 13; 340826; ;
Mr.; ; First35; Lastname35; ; ; ; ; Lastname35@email.de; ; Master of Laws, 1; 903882; ;
Mr.; ; First19; Lastname19; ; ; ; ; Lastname19@email.de; ; Bachelor of Arts, 7; 474940; ;
Mr.; ; First30; Lastname30; ; ; ; ; Lastname30@email.de; ; Bachelor of Philosophy, 5; 210651; ;
Mrs.; ; First14; Lastname14; ; ; ; ; Lastname14@email.de; ; Master of Philosophy, 14; 656141; ;
Mr.; ; First32; Lastname32; ; ; ; ; Lastname32@email.de; ; Master of Science, 13; 255786; ;
Mrs.; ; First29; Lastname29; ; ; ; ; Lastname29@email.de; ; Master of Laws, 10; 270835; ;
Mr.; ; First34; Lastname34; ; ; ; ; Lastname34@email.de; ; Master of Science, 13; 730296; ;
Mrs.; ; First26; Lastname26; ; ; ; ; Lastname26@email.de; ; Bachelor of Laws, 20; 815401; ;
