Anrede; Titel; Vorname; Nachname; Titel2; Nutzernamen; Privatadr; Privatnr; E-Mail; Anmeldedatum; Studiengaenge; Matrikelnr; Bemerkung
Mr.; ; First15; Lastname15; ; ; ; ; Lastname15@email.de; ; Master of Laws, 15; 809950; ;
Mrs.; ; First31; Lastname31; ; ; ; ; Lastname31@email.de; ; Master of Philosophy, 17; 430960; ;
Mrs.; ; First16; Lastname16; ; ; ; ; Lastname16@email.de; ; Master of Arts, 16; 405240; ;
Mr.; ; First07; Lastname07; ; ; ; ; Lastname07@email.de; ; Bachelor of Philosophy, 3; 394103; ;
Mrs.; ; First27; Lastname27; ; ; ; ; Lastname27@email.de; ; Bachelor of Philosophy, 5; 823215; ;
Mrs.; ; First08; Lastname08; ; ; ; ; Lastname08@email.de; ; Master of Laws, 15; 797478; ;
Mr.; ; First18; Lastname18; ; ; ; ; Lastname18@email.de; ; Master of Philosophy, 17; 235587; ;
Mrs.; ; First38; Lastname38; ; ; ; ; Lastname38@email.de; ; Master of Philosophy, 16; 451190; ;
Mr.; ; First28; Lastname28; ; ; ; ; Lastname28@email.de; ; Bachelor of Science, 12; 506100; ;
Mr.; ; First19; Lastname19; ; ; ; ; Lastname19@email.de; ; Bachelor of Laws, 6; 871049; ;
Mrs.; ; First24; Lastname24; ; ; ; ; Lastname24@email.de; ; Master of Laws, 9; 674332; ;
Mr.; ; First03; Lastname03; ; ; ; ; Lastname03@email.de; ; Master of Philosophy, 9; 856554; ;
Mr.; ; First21; Lastname21; ; ; ; ; Lastname21@email.de; ; Bachelor of Arts, 13; 750312; ;
Mrs.; ; First12; Lastname12; ; ; ; ; Lastname12@email.de; ; Bachelor of Philosophy, 12; 431204; ;
Mrs.; ; First34; Lastname34; ; ; ; ; Lastname34@email.de; ; Master of Laws, 1; 461882; ;
Mrs.; ; First06; Lastname06; ; ; ; ; Lastname06@email.de; ; Master of Laws, 15; 842088; ;
Mr.; ; First32; Lastname32; ; ; ; ; Lastname32@email.de; ; Master of Arts, 8; 970789; ;
Mr.; ; First10; Lastname10; ; ; ; ; Lastname10@email.de; ; Bachelor of Philosophy, 12; 630104; ;
Mr.; ; First01; Lastname01; ; ; ; ; Lastname01@email.de; ; Master of Science, 9; 737325; ;
Mr.; ; First02; Lastname02; ; ; ; ; Lastname02@email.de; ; Master of Arts, 9; 189277; ;
Mr.; ; First17; Lastname17; ; ; ; ; Lastname17@email.de; ; Master of Laws, 1; 350977; ;
Mr.; ; First20; Lastname20; ; ; ; ; Lastname20@email.de; ; Master of Science, 11; 231831; ;
Mrs.; ; First26; Lastname26; ; ; ; ; Lastname26@email.de; ; Bachelor of Laws, 20; 243906; ;
Mr.; ; First37; Lastname37; ; ; ; ; Lastname37@email.de; ; Master of Laws, 4; 879647; ;
Mr.; ; First04; Lastname04; ; ; ; ; Lastname04@email.de; ; Bachelor of Arts, 14; 233456; ;
Mrs.; ; First11; Lastname11; ; ; ; ; Lastname11@email.de; ; Master of Laws, 11; 331677; ;
Mrs.; ; First23; Lastname23; ; ; ; ; Lastname23@email.de; ; Bachelor of Arts, 11; 356981; ;
Mrs.; ; First13; Lastname13; ; ; ; ; Lastname13@email.de; ; Master of Science, 4; 574907; ;
Mr.; ; First33; Lastname33; ; ; ; ; Lastname33@email.de; ; Master of Science, 16; 778198; ;
Mrs.; ; First36; Lastname36; ; ; ; ; Lastname36@email.de; ; Master of Laws, 8; 569659; ;
Mr.; ; First14; Lastname14; ; ; ; ; Lastname14@email.de; ; Master of Science, 13; 320977; ;
Mr.; ; First35; Lastname35; ; ; ; ; Lastname35@email.de; ; Bachelor of Science, 10; 959531; ;
Mr.; ; First25; Lastname25; ; ; ; ; Lastname25@email.de; ; Bachelor of Philosophy, 19; 322033; ;
Mr.; ; First29; Lastname29; ; ; ; ; Lastname29@email.de; ; Bachelor of Philosophy, 5; 342585; ;
Mrs.; ; First30; Lastname30; ; ; ; ; Lastname30@email.de; ; Master of Arts, 17; 721743; ;
Mrs.; ; First09; Lastname09; ; ; ; ; Lastname09@email.de; ; Bachelor of Laws, 1; 845878; ;
Mrs.; ; First22; Lastname22; ; ; ; ; Lastname22@email.de; ; Bachelor of Science, 11; 864787; ;
Mrs.; ; First05; Lastname05; ; ; ; ; Lastname05@email.de; ; Master of Arts, 8; 388960; ;
