Anrede;Titel;Vorname;Nachname;Titel2;Nutzernamen;Privatadr;Privatnr;E-Mail;Anmeldedatum;Studiengaenge;Matrikelnr;Bemerkung
"Frau"; ""; "First040"; "Lastname040"; ""; ""; ""; ""; "Lastname040@email.de"; ""; "Master of Science;10"; 102830; ""
"Herr"; ""; "First017"; "Lastname017"; ""; ""; ""; ""; "Lastname017@email.de"; ""; "Master of Science;9"; 105645; ""
"Herr"; ""; "First042"; "Lastname042"; ""; ""; ""; ""; "Lastname042@email.de"; ""; "Master of Science;6"; 106172; ""
"Herr"; ""; "First131"; "Lastname131"; ""; ""; ""; ""; "Lastname131@email.de"; ""; "Master of Science;8"; 108575; ""
"Frau"; ""; "First027"; "Lastname027"; ""; ""; ""; ""; "Lastname027@email.de"; ""; "Master of Science;5"; 114668; ""
"Frau"; ""; "First074"; "Lastname074"; ""; ""; ""; ""; "Lastname074@email.de"; ""; "Master of Science;1"; 116550; ""
"Frau"; ""; "First048"; "Lastname048"; ""; ""; ""; ""; "Lastname048@email.de"; ""; "Master of Science;7"; 117996; ""
"Herr"; ""; "First050"; "Lastname050"; ""; ""; ""; ""; "Lastname050@email.de"; ""; "Master of Science;6"; 122543; ""
"Frau"; ""; "First122"; "Lastname122"; ""; ""; ""; ""; "Lastname122@email.de"; ""; "Master of Science;10"; 132210; ""
"Frau"; ""; "First099"; "Lastname099"; ""; ""; ""; ""; "Lastname099@email.de"; ""; "Master of Science;7"; 148606; ""
"Herr"; ""; "First134"; "Lastname134"; ""; ""; ""; ""; "Lastname134@email.de"; ""; "Master of Science;10"; 150674; ""
"Herr"; ""; "First037"; "Lastname037"; ""; ""; ""; ""; "Lastname037@email.de"; ""; "Master of Science;8"; 156522; ""
"Frau"; ""; "First011"; "Lastname011"; ""; ""; ""; ""; "Lastname011@email.de"; ""; "Master of Science;8"; 158110; ""
"Herr"; ""; "First097"; "Lastname097"; ""; ""; ""; ""; "Lastname097@email.de"; ""; "Master of Science;3"; 173068; ""
"Herr"; ""; "First010"; "Lastname010"; ""; ""; ""; ""; "Lastname010@email.de"; ""; "Master of Science;5"; 173925; ""
"Herr"; ""; "First060"; "Lastname060"; ""; ""; ""; ""; "Lastname060@email.de"; ""; "Master of Science;2"; 177226; ""
"Herr"; ""; "First064"; "Lastname064"; ""; ""; ""; ""; "Lastname064@email.de"; ""; "Master of Science;1"; 184270; ""
"Herr"; ""; "First145"; "Lastname145"; ""; ""; ""; ""; "Lastname145@email.de"; ""; "Master of Science;6"; 190570; ""
"Herr"; ""; "First013"; "Lastname013"; ""; ""; ""; ""; "Lastname013@email.de"; ""; "Master of Science;4"; 205010; ""
"Herr"; ""; "First100"; "Lastname100"; ""; ""; ""; ""; "Lastname100@email.de"; ""; "Master of Science;8"; 207899; ""
"Frau"; ""; "First033"; "Lastname033"; ""; ""; ""; ""; "Lastname033@email.de"; ""; "Master of Science;9"; 209686; ""
"Herr"; ""; "First109"; "Lastname109"; ""; ""; ""; ""; "Lastname109@email.de"; ""; "Master of Science;4"; 212544; ""
"Herr"; ""; "First111"; "Lastname111"; ""; ""; ""; ""; "Lastname111@email.de"; ""; "Master of Science;9"; 219350; ""
"Frau"; ""; "First132"; "Lastname132"; ""; ""; ""; ""; "Lastname132@email.de"; ""; "Master of Science;3"; 251502; ""
"Frau"; ""; "First054"; "Lastname054"; ""; ""; ""; ""; "Lastname054@email.de"; ""; "Master of Science;2"; 258080; ""
"Herr"; ""; "First072"; "Lastname072"; ""; ""; ""; ""; "Lastname072@email.de"; ""; "Master of Science;3"; 261852; ""
"Frau"; ""; "First112"; "Lastname112"; ""; ""; ""; ""; "Lastname112@email.de"; ""; "Master of Science;1"; 269400; ""
"Herr"; ""; "First067"; "Lastname067"; ""; ""; ""; ""; "Lastname067@email.de"; ""; "Master of Science;10"; 271320; ""
"Frau"; ""; "First106"; "Lastname106"; ""; ""; ""; ""; "Lastname106@email.de"; ""; "Master of Science;8"; 273087; ""
"Frau"; ""; "First096"; "Lastname096"; ""; ""; ""; ""; "Lastname096@email.de"; ""; "Master of Science;5"; 285086; ""
"Herr"; ""; "First115"; "Lastname115"; ""; ""; ""; ""; "Lastname115@email.de"; ""; "Master of Science;3"; 305176; ""
"Herr"; ""; "First084"; "Lastname084"; ""; ""; ""; ""; "Lastname084@email.de"; ""; "Master of Science;5"; 306662; ""
"Herr"; ""; "First116"; "Lastname116"; ""; ""; ""; ""; "Lastname116@email.de"; ""; "Master of Science;1"; 308286; ""
"Frau"; ""; "First070"; "Lastname070"; ""; ""; ""; ""; "Lastname070@email.de"; ""; "Master of Science;10"; 308536; ""
"Frau"; ""; "First046"; "Lastname046"; ""; ""; ""; ""; "Lastname046@email.de"; ""; "Master of Science;7"; 308781; ""
"Herr"; ""; "First004"; "Lastname004"; ""; ""; ""; ""; "Lastname004@email.de"; ""; "Master of Science;8"; 313741; ""
"Frau"; ""; "First123"; "Lastname123"; ""; ""; ""; ""; "Lastname123@email.de"; ""; "Master of Science;4"; 317663; ""
"Frau"; ""; "First088"; "Lastname088"; ""; ""; ""; ""; "Lastname088@email.de"; ""; "Master of Science;7"; 326481; ""
"Frau"; ""; "First024"; "Lastname024"; ""; ""; ""; ""; "Lastname024@email.de"; ""; "Master of Science;1"; 326731; ""
"Herr"; ""; "First051"; "Lastname051"; ""; ""; ""; ""; "Lastname051@email.de"; ""; "Master of Science;10"; 334842; ""
